City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Jerantut,88,MY,1541633990,72.53,1.7,3.94,102.37,98
Wangaratta,40,AU,1541631600,57.2,9.17,-36.36,146.32,50
Lake City,90,US,1541631360,42.08,4.7,38.03,-107.32,27
Jalu,0,LY,1541633990,62.36,10.76,29.03,21.55,74
Baykit,56,RU,1541633990,6.56,6.62,61.68,96.39,81
Berlevag,40,NO,1541631000,33.8,11.41,70.86,29.09,80
Huarmey,56,PE,1541633991,68.3,3.83,-10.07,-78.15,66
Pemberton,8,AU,1541634042,59.93,4.61,-34.44,116.03,62
Zhicheng,0,CN,1541634042,38.55,4.83,35.04,112.59,97
Almeirim,0,PT,1541631600,53.6,2.24,39.21,-8.63,81
Khasan,92,RU,1541634042,47.6,9.19,42.43,130.64,100
Kirakira,76,SB,1541634042,81.93,11.77,-10.46,161.92,100
Hervey Bay,56,AU,1541633889,79.73,8.97,-25.3,152.85,82
Atikokan,80,CA,1541634042,25.32,7.07,48.76,-91.62,75
Maxixe,68,MZ,1541634043,67.04,11.88,-23.86,35.35,100
Mpika,20,ZM,1541634043,73.25,12.88,-11.84,31.4,44
Kedrovyy,40,RU,1541631600,26.6,8.95,56.17,91.82,79
Millau,0,FR,1541631600,41,2.24,44.1,3.08,93
Iguape,92,BR,1541634043,68.39,11.32,-24.7,-47.56,100
Dinan,0,FR,1541631600,44.6,10.29,48.45,-2.05,81
Gambo,0,NG,1541634044,69.65,7.4,11.96,9.63,32
Biak,76,ID,1541634044,83.55,2.48,-0.91,122.88,82
Mikuni,20,JP,1541631600,55.4,3.36,36.22,136.15,87
Rock Springs,20,US,1541631240,35.96,18.34,41.59,-109.2,25
Ancud,80,CL,1541634045,51.02,3.94,-41.87,-73.83,69
Avera,90,US,1541631540,73.04,3.36,33.19,-82.53,79
Nioro,12,GM,1541634045,75.86,2.93,13.79,-15.05,76
Khombole,92,SN,1541634045,75.5,8.75,14.76,-16.69,80
Wakkanai,0,JP,1541634045,45.57,5.5,45.41,141.67,100
Sangar,36,RU,1541634046,-5.6,2.59,63.92,127.47,83
Souillac,0,FR,1541631600,46.4,3.36,45.6,-0.6,100
Zaidpur,0,IN,1541631600,57.2,2.71,26.83,81.33,82
Miraflores,36,CO,1541634047,53.36,2.15,5.2,-73.14,100
Nadym,44,RU,1541634047,2.37,15.01,65.53,72.51,67
Balad,68,ID,1541634047,80.9,7.29,-6.76,108.42,100
Kwidzyn,8,PL,1541634047,46.07,8.75,53.73,18.93,91
Roblin,56,CA,1541634048,14.12,11.77,51.23,-101.35,76
Kita,20,JP,1541631600,60.8,14.99,35.76,139.74,72
Nouakchott,12,MR,1541633776,72.8,14.67,18.08,-15.98,94
Te Anau,100,NZ,1541634048,47.78,3.6,-45.41,167.72,100
Chittur,20,IN,1541633400,71.6,2.37,10.7,76.74,83
Cockburn Town,0,TC,1541634049,82.7,13,21.46,-71.14,96
Dovers,68,VC,1541634049,80.9,14.34,12.88,-61.18,100
Koronowo,12,PL,1541631600,46.4,3.36,53.31,17.94,87
Ranong,20,TH,1541631600,75.2,2.24,9.96,98.62,100
Kedgwick,92,CA,1541634050,43.91,12.21,47.65,-67.35,77
La Ronge,75,CA,1541631600,10.4,4.7,55.1,-105.3,78
Kaitangata,100,NZ,1541634050,48.14,4.94,-46.28,169.85,100
Nieuw Nickerie,24,SR,1541634050,81.57,13.11,5.94,-56.99,100
Zabid,12,YE,1541634050,47.82,2.15,14.2,44.5,89
Jiangyou,44,CN,1541634050,31.67,2.59,31.78,104.73,91
Saint-Georges,92,CA,1541634102,42.47,12.1,46.12,-70.67,81
Deputatskiy,68,RU,1541634102,-17.52,2.82,69.3,139.9,72
Zhezkazgan,76,KZ,1541634102,21.32,5.73,47.8,67.71,80
Bosaso,20,SO,1541634102,76.13,7.18,11.28,49.18,100
Camp Diable,20,MU,1541631600,73.4,3.36,-20.46,57.58,88
Prince George,90,CA,1541631600,24.8,4.7,53.92,-122.75,85
Puerto Baquerizo Moreno,20,EC,1541631600,75.2,16.11,-0.9,-89.6,78
Naze,56,NG,1541634103,71.9,2.93,5.43,7.07,96
Muros,20,ES,1541631600,46.4,9.17,42.77,-9.06,87
Arua,68,UG,1541634103,66.05,2.15,3.02,30.91,98
Gamba,0,CN,1541634103,-11.85,0.69,28.28,88.52,42
Fort Wellington,20,GY,1541634104,82.43,13,6.4,-57.6,98
Cayenne,0,GF,1541631600,80.6,8.05,4.94,-52.33,83
Kimberley,0,ZA,1541631600,53.6,5.82,-28.74,24.76,23
Itarema,0,BR,1541634104,78.74,14.79,-2.92,-39.92,77
Nenita,80,PH,1541634104,81.75,15.57,12.49,124.8,100
Sawtell,90,AU,1541632140,60.8,14.99,-30.38,153.1,87
Chapais,90,CA,1541633520,32,8.05,49.78,-74.86,100
Santa Fe,0,AR,1541634105,69.65,10.98,-31.62,-60.7,54
Magadan,0,RU,1541631600,1.4,4.47,59.56,150.8,70
Jiexiu,0,CN,1541634106,26.54,3.71,37.02,111.92,93
Florestopolis,20,BR,1541631600,77,16.11,-22.86,-51.39,65
Zhanaozen,0,KZ,1541634106,20.96,2.93,43.35,52.85,72
Miquelon,90,PM,1541631600,46.4,14.99,47.1,-56.38,100
Komsomolskiy,0,RU,1541634107,-7.04,7.4,67.55,63.78,60
Estevan,90,CA,1541632500,14,12.75,49.14,-102.99,72
Nemuro,36,JP,1541634107,49.31,10.2,43.32,145.57,100
Port-Gentil,75,GA,1541631600,78.8,3.36,-0.72,8.78,94
Yamethin,0,MM,1541634107,65.78,7.74,20.43,96.14,97
Coracora,0,PE,1541634108,43.95,2.48,-15.02,-73.78,45
Madera,1,US,1541631300,78.8,3.36,36.96,-120.06,27
Mweka,88,CD,1541634108,74.33,2.93,-4.85,21.56,95
Damoh,0,IN,1541634108,50.21,3.27,23.84,79.44,64
Westport,24,IE,1541634108,41.66,18.03,53.8,-9.52,100
Bogorodskoye,0,RU,1541634108,22.85,5.5,52.37,140.44,89
Sanford,1,US,1541631360,64.94,5.5,35.48,-79.18,72
Mlowo,8,TZ,1541634109,61.5,3.83,-9.01,33,73
Lokosovo,80,RU,1541634109,12.45,3.6,61.13,74.84,91
Necochea,0,AR,1541634109,60.33,13,-38.55,-58.74,49
Upernavik,48,GL,1541634109,18.12,4.38,72.79,-56.15,100
Kushima,75,JP,1541631600,62.6,6.93,31.5,131.29,88
Mahuva,0,IN,1541634110,80.13,11.77,21.09,71.76,100
Buala,88,SB,1541634110,81.62,6.51,-8.15,159.59,97
Rochegda,80,RU,1541634110,35.27,4.83,62.67,43.41,99
Gold Coast,90,AU,1541631600,71.6,6.93,-28,153.41,73
Kilindoni,92,TZ,1541634111,75.86,4.94,-7.91,39.67,100
Murgab,75,TM,1541631600,46.4,2.48,37.5,61.97,87
Khandyga,56,RU,1541634162,-2.9,1.92,62.65,135.58,73
Bacolod,76,PH,1541634162,78.78,8.63,10.68,122.95,87
Torrejon de Ardoz,40,ES,1541631600,48.2,3.36,40.46,-3.47,100
Xining,0,CN,1541634163,4.58,3.15,36.62,101.77,51
La Trinidad,75,NI,1541631600,71.6,4.7,12.97,-86.24,83
Beira,0,ES,1541631600,48.2,5.82,43.2,-8.36,81
Dakar,80,SN,1541631600,75.2,6.93,14.69,-17.45,94
Bichena,100,ET,1541634164,56.15,1.59,10.45,38.2,98
Byron Bay,90,AU,1541631600,71.6,6.93,-28.65,153.62,73
Guilin,90,CN,1541631600,53.6,3.94,25.28,110.29,76
Castelo Branco,64,PT,1541634164,46.07,2.71,39.82,-7.5,91
Ornskoldsvik,92,SE,1541631000,41,4.7,63.29,18.72,100
Port Lavaca,1,US,1541631180,84.02,8.05,28.61,-96.63,90
Novozybkov,90,RU,1541631600,32,4.47,52.54,31.93,73
Kantunilkin,40,MX,1541630940,80.6,3.36,21.1,-87.49,74
Ugoofaaru,92,MV,1541634165,79.19,1.36,5.67,73,100
Mount Isa,36,AU,1541631600,71.6,14.99,-20.73,139.49,35
San Marcos,40,GT,1541631600,86,4.7,14.97,-91.79,70
Cermik,0,TR,1541631000,41,5.82,38.14,39.45,93
Mahibadhoo,76,MV,1541634166,82.92,2.59,3.78,72.97,100
Srednekolymsk,64,RU,1541634167,-2.4,3.15,67.46,153.71,72
Port Macquarie,75,AU,1541631600,59,17.22,-31.43,152.91,72
Siva,40,GR,1541631000,62.6,6.93,35.21,25.04,88
Saint-Augustin,0,FR,1541631600,44.6,4.7,44.83,-0.61,100
Lens,44,FR,1541631600,51.8,11.41,50.43,2.83,93
Hare Bay,20,CA,1541631600,50,16.11,48.86,-53.99,81
Saldanha,64,PT,1541634168,36.57,2.71,41.42,-6.55,94
Kaeo,36,NZ,1541634168,69.87,12.66,-35.1,173.78,70
Kuytun,64,RU,1541634168,18.08,4.61,54.34,101.51,81
Reitz,0,ZA,1541634169,43.64,9.53,-27.8,28.43,57
